ISBN,Sales,Stores,Title,Authors,Publisher,Categories,Description,Binding,Subjects
9780593386064,3,3,I Am Extraordinary,Stephen Curry,Penguin Workshop,Children's,"In his sophomore picture book, NBA superstar Stephen Curry encourages kids to embrace the differences that make them extraordinary!<br/><br/>It’s the first day of school for Zoe, a young girl with hearing loss who dreams of playing on her school’s soccer team. But, self-conscious of her hearing aids, Zoe is too nervous to try out. With the help of and perspectives from new friends, what begins as a bumpy, anxiety-filled start for Zoe, soon transitions into an eye-opening experience about what it means to be different—and what it means to be extraordinary. I Am Extraordinary teaches kids how to look inside themselves to find self-acceptance and the confidence to achieve any goal.",Hardcover,"Children's Books, Growing Up & Facts of Life, Friendship, Social Skills & School Life"
9780593337721,109,4,Happy Land,Dolen Perkins-Valdez,Berkley,Non-Fiction,"A woman learns the astonishing truth of her family’s ties to a vanished American Kingdom in this riveting new novel from the New York Times bestselling, NAACP Image Award-winning author of Take My Hand.<br/><br/>Nikki Berry hasn’t seen her grandmother in years, due to a mysterious estrangement inherited from her mother. So when the elder calls out of the blue with an urgent request for Nikki to visit her in the hills of western North Carolina, Nikki hesitates only for a moment. After years of silence in her family, she’s determined to learn the truth while she still can.<br/><br/>But instead of answers about the recent past, Mother Rita tells Nikki an incredible story of a kingdom on this very mountain, and of her great-great-great grandmother, Luella, who would become its queen.<br/><br/>It sounds like the makings of a fairy tale—royalty among a community of freed people. But the more Nikki learns about the Kingdom of the Happy Land, and the lives of those who dwelled in the ruins she discovers in the woods, the more she realizes how much of her identity and her family’s secrets are wrapped up in these hills. Because this land is their legacy, and it will be up to her to protect it before it, like so much else, is stolen away.<br/><br/>Inspired by true events, Happy Land is a transporting multi-generational novel about the stories that shape us and the dazzling courage it takes to dream.",Hardcover,"Literature & Fiction, Women's Fiction, Domestic Life, United States, Black & African American, Literary"
9780345514400,6,3,I Know Why the Caged Bird Sings,Maya Angelou,Ballantine Books,Non-Fiction,"Maya Angelou’s debut memoir is a modern American classic beloved worldwide. Her life story is told in the documentary film And Still I Rise, as seen on PBS’s American Masters.<br/><br/>Here is a book as joyous and painful, as mysterious and memorable, as childhood itself. I Know Why the Caged Bird Sings captures the longing of lonely children, the brute insult of bigotry, and the wonder of words that can make the world right. Maya Angelou’s debut memoir is a modern American classic beloved worldwide.<br/><br/>Sent by their mother to live with their devout, self-sufficient grandmother in a small Southern town, Maya and her brother, Bailey, endure the ache of abandonment and the prejudice of the local “powhitetrash.” At eight years old and back at her mother’s side in St. Louis, Maya is attacked by a man many times her age—and has to live with the consequences for a lifetime. Years later, in San Francisco, Maya learns that love for herself, the kindness of others, her own strong spirit, and the ideas of great authors (“I met and fell in love with William Shakespeare”) will allow her to be free instead of imprisoned.<br/><br/>Poetic and powerful, I Know Why the Caged Bird Sings will touch hearts and change minds for as long as people read.<br/><br/>“I Know Why the Caged Bird Sings liberates the reader into life simply because Maya Angelou confronts her own life with such a moving wonder, such a luminous dignity.”—James Baldwin",Mass Market Paperback,"Biographies & Memoirs, Arts & Literature, Authors, Community & Culture, Black & African American, Women, Memoirs, Regional U.S., South, History, Americas, United States, Literature & Fiction, History & Criticism, Criticism & Theory, Poetry, Regional & Cultural, Classics, Politics & Social Sciences, Politics & Government, Specific Topics, Self Service, Custom Stores"
9780063359949,5,4,If We Were a Movie,Zakiya N. Jamal,HarperCollins,Young Adult,"Booksmart meets Phantom of the Megaplex in Zakiya N. Jamal's debut enthralling enemies-to-lovers queer romance, set against the backdrop of a historic Black-owned movie theater, the quirky employees who work there, and the suburbs of Long Island. Perfect for fans of Leah Johnson and Today Tonight Tomorrow.<br/>Lights. Camera. Love?<br/>Rochelle “the Shell” Coleman is laser focused on only three things: becoming valedictorian, getting into Wharton, and, of course, taking down her annoyingly charismatic nemesis and only academic competition, Amira Rodriguez. However, despite her stellar grades, Rochelle’s college application is missing that extra special something: a job.<br/>When Rochelle gets an opportunity to work at Horizon Cinemas, the beloved Black-owned movie theater, she begrudgingly jumps at the chance to boost her chances at getting into her dream school. There’s only one problem: Amira works there… and is also her boss.<br/>Rochelle feels that working with Amira is its own kind of horror movie, but as the two begin working closely together, Rochelle starts to see Amira in a new light, one that may have her beginning to actually… like her?<br/>But Horizon’s in trouble, and when mysterious things begin happening that make Horizon’s chances of staying open slimmer, it’s up to the employees to solve the mystery before it’s too late, but will love also find its way into the spotlight?",Hardcover,"Teen & Young Adult, Literature & Fiction, Social Issues, Romance, Contemporary, LGBTQ+"
9781368098083,10,3,Captain America: Brave New World: A Hero Looks Like You,Kwame Mbalia,Marvel Press,Children's,"New York Times best-selling author Kwame Mbalia and New York Times best-selling illustrator Nikkolas Smith explore the world of Marvel Studios’ Captain America: Brave New World. This new picture book is perfect for fans of Sam Wilson, Captain America.<br/><br/>Set in the world of Marvel Studios’ Captain America: Brave New World, A Hero Looks Like You is a heartwarming picture book about a young boy named DJ who steps up to help Captain America, his favorite Super Hero, and discovers along the way that heroes don’t always look big or strong or wear a suit. Sometimes, they might even look like him.<br/><br/>From New York Times best-selling author Kwame Mbalia and New York Times best-selling illustrator Nikkolas Smith, this inspiring story shows readers anyone can choose to be a hero.",Hardcover,"Children's Books, Growing Up & Facts of Life, Family Life, Science Fiction & Fantasy, Science Fiction"
9781534441606,6,2,Legendborn (1) (The Legendborn Cycle),Tracy Deonn,Margaret K. McElderry Books,Young Adult,"An Instant New York Times Bestseller!<br/>Winner of the Coretta Scott King - John Steptoe for New Talent Author Award<br/><br/>Filled with mystery and an intriguingly rich magic system, Tracy Deonn’s YA contemporary fantasy Legendborn offers the dark allure of City of Bones with a modern-day twist on a classic legend and a lot of Southern Black Girl Magic.<br/><br/>After her mother dies in an accident, sixteen-year-old Bree Matthews wants nothing to do with her family memories or childhood home. A residential program for bright high schoolers at UNC–Chapel Hill seems like the perfect escape—until Bree witnesses a magical attack her very first night on campus.<br/><br/>A flying demon feeding on human energies.<br/><br/>A secret society of so called “Legendborn” students that hunt the creatures down.<br/><br/>And a mysterious teenage mage who calls himself a “Merlin” and who attempts—and fails—to wipe Bree’s memory of everything she saw.<br/><br/>The mage’s failure unlocks Bree’s own unique magic and a buried memory with a hidden connection: the night her mother died, another Merlin was at the hospital. Now that Bree knows there’s more to her mother’s death than what’s on the police report, she’ll do whatever it takes to find out the truth, even if that means infiltrating the Legendborn as one of their initiates.<br/><br/>She recruits Nick, a self-exiled Legendborn with his own grudge against the group, and their reluctant partnership pulls them deeper into the society’s secrets—and closer to each other. But when the Legendborn reveal themselves as the descendants of King Arthur’s knights and explain that a magical war is coming, Bree has to decide how far she’ll go for the truth and whether she should use her magic to take the society down—or join the fight.",Hardcover,"Teen & Young Adult, Literature & Fiction, Science Fiction & Fantasy, Fantasy, Romance, Contemporary, Historical, Science Fiction & Dystopian"
9781538723692,3,3,Madness: Race and Insanity in a Jim Crow Asylum,Antonia Hylton,Legacy Lit,Non-Fiction,"New York Times Bestseller<br/>Amazon Editor’s Pick for Best Books<br/><br/>In the tradition of The Immortal Life of Henrietta Lacks, a page-turning 93-year history of Crownsville Hospital, one of the nation’s last segregated asylums, that the New York Times described as “fascinating…meticulous research” and bestselling author Clint Smith endorsed it as “a book that left me breathless.”<br/><br/>On a cold day in March of 1911, officials marched twelve Black men into the heart of a forest in Maryland. Under the supervision of a doctor, the men were forced to clear the land, pour cement, lay bricks, and harvest tobacco. When construction finished, they became the first twelve patients of the state’s Hospital for the Negro Insane. For centuries, Black patients have been absent from our history books. Madness transports readers behind the brick walls of a Jim Crow asylum.<br/><br/>In Madness, Peabody and Emmy award-winning journalist Antonia Hylton tells the 93-year-old history of Crownsville Hospital, one of the last segregated asylums with surviving records and a campus that still stands to this day in Anne Arundel County, Maryland. She blends the intimate tales of patients and employees whose lives were shaped by Crownsville with a decade-worth of investigative research and archival documents. Madness chronicles the stories of Black families whose mental health suffered as they tried, and sometimes failed, to find safety and dignity. Hylton also grapples with her own family’s experiences with mental illness, and the secrecy and shame that it reproduced for generations.<br/><br/>As Crownsville Hospital grew from an antebellum-style work camp to a tiny city sitting on 1,500 acres, the institution became a microcosm of America’s evolving battles over slavery, racial integration, and civil rights. During its peak years, the hospital’s wards were overflowing with almost 2,700 patients. By the end of the 20th-century, the asylum faded from view as prisons and jails became America’s new focus.<br/><br/>In Madness, Hylton traces the legacy of slavery to the treatment of Black people’s bodies and minds in our current mental healthcare system. It is a captivating and heartbreaking meditation on how America decides who is sick or criminal, and who is worthy of our care or irredeemable.",Hardcover,"Health, Fitness & Dieting, Mental Health, Psychology & Counseling, History, Americas, United States, Medical Books, Psychology, Politics & Social Sciences, Social Sciences, Ethnic Studies, Sociology, Race Relations"
9781538706855,54,3,Can't Get Enough,Kennedy Ryan,Forever,Fiction,Unknown,Paperback,"Romance, Contemporary, Literature & Fiction, Women's Fiction, Domestic Life, Divorce, Genre Fiction, Family Life, United States, Black & African American"
9780063056763,4,3,Swim Team: A Graphic Novel,Johnnie Christmas,HarperAlley,Children's,"“Combines wonderful characters and history to create a story that will make you want to dive right in!” JERRY CRAFT, author of the Newbery Medal–winning New Kid<br/>A splashy, contemporary middle grade graphic novel from bestselling comics creator Johnnie Christmas!<br/>Bree can’t wait for her first day at her new middle school, Enith Brigitha, home to the Mighty Manatees—until she’s stuck with the only elective that fits her schedule, the dreaded Swim 101. The thought of swimming makes Bree more than a little queasy, yet she’s forced to dive headfirst into one of her greatest fears. Lucky for her, Etta, an elderly occupant of her apartment building and former swim team captain, is willing to help.<br/>With Etta’s training and a lot of hard work, Bree suddenly finds her swim-crazed community counting on her to turn the school’s failing team around. But that’s easier said than done, especially when their rival, the prestigious Holyoke Prep, has everything they need to leave the Mighty Manatees in their wake.<br/>Can Bree defy the odds and guide her team to a state championship, or have the Manatees swum their last lap—for good?<br/>Praise for SWIM TEAM:<br/>Coretta Scott King Illustrator Honor<br/>National Book Award Longlist<br/>Kirkus Best Book of the Year<br/>Harvey Award Best Children’s or Young Adult Book Nominee<br/>“A revelation! You’ll root for Swim Team—the water is just right.” —JOHN JENNINGS, New York Times bestselling and Eisner Award–winning creator<br/>“Swim Team is a beautiful story about trying new things. Johnnie Christmas is a fantastic storyteller and artist.” —KAZU KIBUISHI, author of Amulet<br/>“Full of charm, heart, and pulse-pounding races. A winner!” —GENE LUEN YANG, author of American Born Chinese and Dragon Hoops",Paperback,"Children's Books, Growing Up & Facts of Life, Family Life, Comics & Graphic Novels, Sports & Outdoors, Water Sports, Geography & Cultures, Multicultural Stories, Graphic Novels, Self Service, Custom Stores"
9780062698735,3,3,Black Enough: Stories of Being Young & Black in America,"Ibi Zoboi, Tracey Baptiste, Coe Booth, Dhonielle Clayton, Brandy Colbert, Jay Coles, Lamar Giles, Leah Henderson, Justina Ireland, Varian Johnson, Kekla Magoon, Tochi Onyebuchi, Jason Reynolds, Nic Stone, Liara Tamani, Renée Watson, Rita Williams-Garcia",Balzer + Bray,Young Adult,"Edited by National Book Award finalist Ibi Zoboi, and featuring some of the most acclaimed bestselling Black authors writing for teens today—Black Enough is an essential collection of captivating stories about what it’s like to be young and Black in America. A selection of the Schomburg Center's Black Liberation Reading List.<br/>Black is...sisters navigating their relationship at summer camp in Portland, Oregon, as written by Renée Watson.<br/>Black is…three friends walking back from the community pool talking about nothing and everything, in a story by Jason Reynolds.<br/>Black is…Nic Stone’s high-class beauty dating a boy her momma would never approve of.<br/>Black is…two girls kissing in Justina Ireland’s story set in Maryland.<br/>Black is urban and rural, wealthy and poor, mixed race, immigrants, and more—because there are countless ways to be Black enough.<br/>Contributors:<br/>Justina Ireland<br/>Varian Johnson<br/>Rita Williams-Garcia<br/>Dhonielle Clayton<br/>Kekla Magoon<br/>Leah Henderson<br/>Tochi Onyebuchi<br/>Jason Reynolds<br/>Nic Stone<br/>Liara Tamani<br/>Renée Watson<br/>Tracey Baptiste<br/>Coe Booth<br/>Brandy Colbert<br/>Jay Coles<br/>Ibi Zoboi<br/>Lamar Giles",Paperback,"Literature & Fiction, Short Stories & Anthologies, Anthologies, Teen & Young Adult, Short Stories, Social & Family Issues, Coming of Age, Social Issues"
9780593725115,10,3,Junie: A Novel,Erin Crosby Eckstine,Ballantine Books,Fiction,"A young girl must face a life-altering decision, navigating love, friendship, and her sister’s ghost as the Civil War looms in this radiant debut.<br/><br/>Sixteen years old and enslaved since she was born, Junie spends her days on Bellereine Plantation in Alabama, cooking and cleaning alongside her family, and tending to the white master’s daughter—her oldest friend, Violet. In the daytime, she entertains herself with poetry and imagines grand romances and faraway worlds. She fills her nights with secret explorations through the forest, consumed with grief over the sudden death of her older sister, Minnie.<br/><br/>When wealthy guests arrive from New Orleans, hinting at marriage for Violet and upending Junie’s life, she commits a desperate act—one that rouses Minnie’s spirit from the grave, tethered to this world unless Junie can free her. She enlists the aid of Caleb, the guests’ coachman, and their friendship soon becomes something more. Yet as long-held truths begin to crumble, she realizes Bellereine is harboring dark secrets that can no longer be ignored.<br/><br/>With time ticking down, Junie begins to push against the current that has controlled her entire life. As she grapples with an increasingly unfamiliar world in which she has little control, she is forced to ask herself: When we choose love and liberation, what must we leave behind?",Hardcover,"Literature & Fiction, Genre Fiction, Horror, United States, Black & African American, Literary"
9781338897326,8,3,Wash Day Love,Tanisia Moore,Scholastic Press,Children's,"A joyful, intergenerational celebration of Black hair, family love, and cultural pride in the spirit of Hair Love and Crown: An Ode to the Fresh Cut.<br/><br/>It’s wash day―Tasha’s least favorite day of the week!<br/>Wash day means stinging eyes, aching back, and water everywhere, even in Tasha’s ears!<br/>But with big sis comforting her, Mama humming to the music, and Granny telling stories of wash days past, the weekly ritual soon becomes more than a weekend chore―it’s a special bonding time for three generations of beautiful Black women.<br/>Wash Day Love will affirm, empower, and reflect the lived experiences of Black children and resonate with families everywhere.",Hardcover,"Children's Books, Growing Up & Facts of Life, Family Life, Friendship, Social Skills & School Life, Geography & Cultures, Multicultural Stories"
